Year,Mes,Mes_number,Dolar,PIB,Inflacion
1993,Marzo,3,84.62,100.00,34.16
1993,Junio,6,89.90,101.12,35.93
1993,Septiembre,9,9778.00,106.84,39.05
1993,Diciembre,12,10612.00,106.06,45.94
1994,Marzo,3,1147.00,98.21,47.51
1994,Junio,6,199.00,102.87,60.25
1994,Septiembre,9,16957.00,99.43,69.69
1994,Diciembre,12,16957.00,103.77,70.84
1995,Marzo,3,169.57,100.70,70.41
1995,Junio,6,169.57,103.44,61.21
1995,Septiembre,9,169.57,106.91,51.76
1995,Diciembre,12,28925.00,109.21,56.62
1996,Marzo,3,289.25,101.26,78.11
1996,Junio,6,468.10,102.70,108.13
1996,Septiembre,9,47101.00,105.65,115.18
1996,Diciembre,12,47561.00,109.82,103.24
1997,Marzo,3,4774.00,101.69,74.81
1997,Junio,6,4844.00,107.04,43.54
1997,Septiembre,9,49644.00,110.90,39.10
1997,Diciembre,12,5034.00,115.22,37.61
1998,Marzo,3,523.16,109.42,38.25
1998,Junio,6,551.50,109.93,39.01
1998,Septiembre,9,574.00,106.98,34.34
1998,Diciembre,12,565.00,109.79,29.91
1999,Marzo,3,583.50,99.72,27.61
1999,Junio,6,606.00,100.37,23.59
1999,Septiembre,9,627.75,102.39,21.18
1999,Diciembre,12,64925.00,107.60,20.03
2000,Marzo,3,6695.00,102.99,17.54
2000,Junio,6,6815.00,104.02,16.41
2000,Septiembre,9,691.00,104.75,15.94
2000,Diciembre,12,70025.00,113.44,13.43
2001,Marzo,3,707.25,105.20,12.50
2001,Junio,6,719.00,107.90,12.47
2001,Septiembre,9,743.00,110.66,12.29
2001,Diciembre,12,773.00,115.86,12.28
2002,Marzo,3,885.00,100.55,17.63
2002,Junio,6,130001.00,98.49,19.57
2002,Septiembre,9,1476.00,104.08,28.19
2002,Diciembre,12,138350.00,97.57,31.22
2003,Marzo,3,160000.00,73.75,34.09
2003,Junio,6,160000.00,93.08,34.19
2003,Septiembre,9,160000.00,97.37,26.59
2003,Diciembre,12,160000.00,105.42,27.08
2004,Marzo,3,1920.00,100.35,23.55
2004,Junio,6,1920.00,105.24,22.34
2004,Septiembre,9,1920.00,112.61,20.81
2004,Diciembre,12,1920.00,119.02,19.18
2005,Marzo,3,272000.00,109.10,15.80
2005,Junio,6,254000.00,117.84,15.88
2005,Septiembre,9,266000.00,123.21,15.96
2005,Diciembre,12,270000.00,132.18,14.36
2006,Marzo,3,256500.00,119.05,12.15
2006,Junio,6,262000.00,128.45,11.79
2006,Septiembre,9,290000.00,134.47,15.34
2006,Diciembre,12,340000.00,147.98,16.97
2007,Marzo,3,3650.00,129.81,18.47
2007,Junio,6,4100.00,139.22,19.43
2007,Septiembre,9,5010.00,148.00,15.26
2007,Diciembre,12,5700.00,159.32,22.46
2008,Marzo,3,3.95,136.54,27.79
2008,Junio,6,345.00,150.13,30.80
2008,Septiembre,9,45.00,154.52,34.50
2008,Diciembre,12,57.00,165.57,30.90
2009,Marzo,3,635.00,137.45,28.10
2009,Junio,6,66.00,146.38,25.98
2009,Septiembre,9,555.00,147.55,27.34
2009,Diciembre,12,597.00,155.95,25.06
2010,Marzo,3,7.00,130.83,26.24
2010,Junio,6,8.10,143.86,31.31
2010,Septiembre,9,811.00,147.22,27.92
2010,Diciembre,12,9.14,156.66,27.18
2011,Marzo,3,842.00,137.11,27.42
2011,Junio,6,822.00,147.58,23.58
2011,Septiembre,9,892.00,153.73,26.46
2011,Diciembre,12,945.00,164.31,27.57
2012,Marzo,3,948.00,145.25,24.60
2012,Junio,6,938.00,155.89,21.33
2012,Septiembre,9,12.00,162.19,18.02
2012,Diciembre,12,1732.00,173.31,20.07
2013,Marzo,3,22.80,146.35,25.13
2013,Junio,6,30.20,159.90,39.61
2013,Septiembre,9,42.01,163.92,49.38
2013,Diciembre,12,6410.00,175.03,56.19
2014,Marzo,3,7003.00,138.77,59.34
2014,Junio,6,7244.00,151.27,60.49
2014,Septiembre,9,10093.00,159.56,64.01
2014,Diciembre,12,17300.00,170.48,68.54
2015,Marzo,3,222.00,136.85,82.42
2015,Junio,6,48441.00,143.95,97.22
2015,Septiembre,9,8231.00,147.70,141.54
2015,Diciembre,12,91058.00,153.00,180.87
2016,Marzo,3,1150.00,118.55,209.56
2016,Junio,6,1088.00,118.63,296.44
2016,Septiembre,9,1224.00,119.60,263.24
2016,Diciembre,12,3200.00,125.64,274.35
2017,Marzo,3,4212.00,104.03,316.97
2017,Junio,6,8200.00,100.12,250.65
2017,Septiembre,9,28200.00,100.71,370.14
2017,Diciembre,12,112800.00,101.94,862.63
2018,Marzo,3,325000.00,84.72,2127.89
2018,Junio,6,36615.00,82.92,10470.71
2018,Septiembre,9,12409.00,78.01,44950.55
2018,Diciembre,12,80000.00,81.33,130060.24
2019,Marzo,3,3675.00,62.02,329567.60
